title,price,location,bedrooms,bathrooms,listing_url,scraped_at
2 Bed Apartment with En Suite in Lavington,"KSh 6,000,000",Lavington,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4017869,2026-06-26T20:34:07.263422
3 Bed Apartment with En Suite in Westlands Area,"KSh 12,000,000","Westlands Area, Westlands",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-westlands-area-4017149,2026-06-26T20:34:07.349531
1 Bed Apartment with En Suite in Westlands Area,"KSh 4,000,000","Westlands Area, Westlands",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4017176,2026-06-26T20:34:07.429197
2 Bed Apartment with En Suite in Parklands,"KSh 12,900,000","Parklands, Westlands",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-parklands-4017917,2026-06-26T20:34:07.509555
4 Bed Apartment with En Suite in Kilimani,"KSh 13,000,000",Kilimani,4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4015648,2026-06-26T20:34:07.593080
4 Bed Apartment with En Suite in Kilimani,"KSh 13,000,000",Kilimani,4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kilimani-4016107,2026-06-26T20:34:07.673429
3 Bed Apartment with En Suite in Nyali Area,"KSh 40,000,000","Nyali Area, Nyali",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-nyali-area-4016888,2026-06-26T20:34:39.665934
2 Bed Apartment with En Suite in Lavington,"KSh 6,000,000",Lavington,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4012213,2026-06-26T20:34:39.747774
Serviced Studio Apartment with Gym at Off Naivasha Road,"KSh 2,400,000","Riruta, Riara Road",,1 Bathrooms,https://www.buyrentkenya.com/listings/studio-apartment-for-sale-riruta-3969522,2026-06-26T20:34:39.819422
4 Bed Apartment with En Suite in Westlands Area,"KSh 62,000,000","Westlands Area, Westlands",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4017904,2026-06-26T20:34:39.991333
1 Bed Apartment with En Suite in Parklands,"KSh 7,800,000","Parklands, Westlands",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-parklands-4017908,2026-06-26T20:34:40.100060
4 Bed Apartment with En Suite in Kileleshwa,"KSh 20,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4017910,2026-06-26T20:34:40.188286
4 Bed Apartment with En Suite in Kileleshwa,"KSh 13,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4017909,2026-06-26T20:34:40.276718
2 Bed Apartment with En Suite in Kilimani,"KSh 6,000,000",Kilimani,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4011957,2026-06-26T20:35:13.359465
4 Bed Apartment with En Suite in Westlands Area,"KSh 18,000,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4012160,2026-06-26T20:35:13.441363
2 Bed Apartment with En Suite in Lavington,"KSh 6,000,000",Lavington,2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4015296,2026-06-26T20:35:13.558671
1 Bed Apartment with En Suite in Kileleshwa,"KSh 4,000,000",Kileleshwa,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4017898,2026-06-26T20:35:13.664427
2 Bed Apartment with En Suite at Mtito Andei Road,"KSh 9,600,000",Kilimani,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4017876,2026-06-26T20:35:13.757626
2 Bed Apartment with En Suite at Mombasa Rd,"KSh 7,400,000",Syokimau,2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-syokimau-4017879,2026-06-26T20:35:13.838077
2 Bed Apartment with En Suite at Eldama Ravine Rd,"KSh 10,100,000","Westlands Area, Westlands",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4017881,2026-06-26T20:35:13.915531
3 Bed Apartment with En Suite in Lavington,"KSh 9,000,000",Lavington,3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-lavington-4013971,2026-06-26T20:35:44.471580
3 Bed Apartment with En Suite in Kileleshwa,"KSh 10,000,000",Kileleshwa,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4012150,2026-06-26T20:35:44.552367
4 Bed Apartment with En Suite in Lavington,"KSh 13,000,000",Lavington,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-lavington-4015351,2026-06-26T20:35:44.629023
1 Bed Apartment with En Suite in Lavington,"KSh 4,000,000",Lavington,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4017883,2026-06-26T20:35:44.707688
4 Bed Apartment with En Suite in Westlands Area,"KSh 17,900,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4017192,2026-06-26T20:35:44.784284
2 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4017181,2026-06-26T20:35:44.862557
1 Bed Apartment with En Suite in Westlands Area,"KSh 4,000,000","Westlands Area, Westlands",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4017175,2026-06-26T20:35:44.940106
4 Bed Apartment with En Suite at Zambia Road,"KSh 18,700,000",Ngong,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-ngong-3942040,2026-06-26T20:36:16.539079
2 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4013963,2026-06-26T20:36:16.625447
4 Bed Apartment with En Suite at Githunguri Road,"KSh 26,000,000",Kileleshwa,4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-kileleshwa-4009213,2026-06-26T20:36:16.731331
